condition,seed,window_start,window_end,profile,minimum_cost,confidence_cost_threshold_95,lambda_at_minimum,truth_profile_cost,truth_in_region_95,lambda_region_lower_95,lambda_region_upper_95,lambda_region_width_95,boundary_hit,expansion_count,refinement_count,accepted_point_count,region_resolved,kappa_at_minimum,kappa_region_lower_95,kappa_region_upper_95,kappa_region_width_95,ridge_direction_lambda_kappa_json
parameter_mismatch_high_k,102,161,230,lambda_kappa_2d,5.9470290163833016e-05,6.207112326691937e-05,0.8496395320537573,0.033052884597675095,False,0.8473420051127941,0.8519370589947205,0.004595053881926381,False,0,2,1583,True,370.3783423800507,370.3380236892278,370.4186610708736,0.08063738164582901,"[-0.0014914909447149823, 0.9999988877267624]"
parameter_mismatch_high_k,102,171,240,lambda_1d,4.4658740945598664e-05,4.591096513776336e-05,0.8519316486352118,0.00011835885043361626,False,0.8495073782524669,0.8543559157011382,0.004848537448671308,False,0,24,26,True,,,,,
parameter_mismatch_high_k,102,171,240,lambda_kappa_2d,4.4658740945598664e-05,4.66118158586938e-05,0.8519316486352118,0.04029289902220526,False,0.8489581095395285,0.854905187730895,0.005947078191366417,False,0,2,1579,True,370.3386568579028,370.3067529351218,370.3705607806838,0.06380784556199615,"[-0.006427956762675108, 0.9999793404725206]"
parameter_mismatch_high_k,102,181,250,lambda_1d,4.385242912754765e-05,4.5082044460984746e-05,0.8504575969684142,7.640796254634757e-05,False,0.8471295930477636,0.8537856050186086,0.006656011970844977,False,0,24,20,True,,,,,
parameter_mismatch_high_k,102,181,250,lambda_kappa_2d,4.385242912754765e-05,4.5770241349607994e-05,0.8504575969684142,0.03676595769365182,False,0.8463755574854739,0.8545396364513544,0.008164078965880561,False,0,2,1573,True,370.3213716700801,370.2880276565141,370.35471568364613,0.06668802713204514,"[-0.015237535553225334, 0.9998839020157612]"
parameter_mismatch_high_k,102,191,260,lambda_1d,2.1043331750519798e-05,2.1633383519642623e-05,0.8486612756444508,3.6267652077468414e-05,False,0.8456436885258147,0.8516788657559078,0.006035177230093058,False,0,24,21,True,,,,,
parameter_mismatch_high_k,102,191,260,lambda_kappa_2d,2.1043331750519798e-05,2.1963626466842943e-05,0.8486612756444508,0.030447708381014685,False,0.8449599863809907,0.852362564907911,0.007402578526920278,False,0,2,1541,True,370.2463332934235,370.22009738779667,370.27256919905034,0.05247181125366751,"[-0.03356440960679248, 0.9994365564695679]"
parameter_mismatch_high_k,102,201,270,lambda_1d,1.4928823632959662e-05,1.534742553972915e-05,0.8480606518680696,2.2294290845006272e-05,False,0.8445497054599708,0.8515715964673342,0.00702189100736339,False,0,24,21,True,,,,,
parameter_mismatch_high_k,102,201,270,lambda_kappa_2d,1.4928823632959662e-05,1.5581710622207148e-05,0.8480606518680696,0.015149689966768787,False,0.8437542237800071,0.852367079956132,0.00861285617612495,False,0,2,1503,True,370.1308212288945,370.0980373542608,370.1636051035282,0.06556774926741582,"[-0.04098799030323651, 0.9991596392223326]"
parameter_mismatch_high_k,102,211,280,lambda_1d,1.5588774187614292e-05,1.6025881005912246e-05,0.8467167651740276,1.861812513128435e-05,False,0.841632988575097,0.8518005407060958,0.010167552130998736,False,0,24,27,True,,,,,
parameter_mismatch_high_k,102,211,280,lambda_kappa_2d,1.5588774187614292e-05,1.627052300424176e-05,0.8467167651740276,0.00862226943761291,False,0.8404811463962497,0.8529523839518055,0.012471237555555792,False,0,2,1469,True,370.04186948518014,369.99550624651806,370.0882327238422,0.09272647732416317,"[-0.0514825138857735, 0.998673896106232]"
parameter_mismatch_high_k,102,221,290,lambda_1d,2.3884840796612306e-05,2.4554568040108812e-05,0.8452352161628088,2.5110904940670046e-05,False,0.8364387513383478,0.8540316779576804,0.01759292661933265,False,0,24,26,True,,,,,
parameter_mismatch_high_k,102,221,290,lambda_kappa_2d,2.3884840796612306e-05,2.4929404131256256e-05,0.8452352161628088,0.005197964856318835,False,0.8344457209710593,0.8560247113545584,0.021578990383499086,False,0,2,1435,True,370.0583216967317,369.9831469481519,370.1334964453115,0.15034949715959556,"[-0.060293348408638904, 0.9981807011446747]"
parameter_mismatch_high_k,102,231,300,lambda_1d,2.342076720196041e-05,2.4077481893605627e-05,0.8537642208074774,2.527262325379384e-05,False,0.8415975427686178,0.8659308964008143,0.024333353632196575,False,0,24,31,True,,,,,
parameter_mismatch_high_k,102,231,300,lambda_kappa_2d,2.342076720196041e-05,2.444503505857804e-05,0.8537642208074774,0.0028306908369164227,False,0.8388409144791021,0.8686875271358526,0.029846612656750482,False,0,2,1447,True,370.1155133302235,370.0164167695149,370.21460989093214,0.19819312141726186,"[0.061910803755594476, -0.998081686225299]"
parameter_mismatch_high_k,103,1,70,lambda_1d,0.01566570239562631,0.016104966268984323,0.8343168536074692,0.01568492037582123,True,0.8296147476878251,0.8390189594914882,0.009404211803663132,False,0,24,25,True,,,,,
parameter_mismatch_high_k,103,1,70,lambda_kappa_2d,0.01566570239562631,0.01635081553802733,0.8343168536074692,0.01646347701145331,False,0.8285493847547606,0.8400843224601778,0.011534937705417247,False,0,2,1588,True,363.9154796745909,353.66879778062196,374.1621615685599,20.493363787937938,"[1.0448177395798969e-05, 0.9999999999454178]"
parameter_mismatch_high_k,103,11,80,lambda_1d,0.0063811767798002215,0.006560103990217536,0.8319941109072673,0.006418592155755817,True,0.8290654714556045,0.8349227508973724,0.005857279441767949,False,0,24,28,True,,,,,
parameter_mismatch_high_k,103,11,80,lambda_kappa_2d,0.0063811767798002215,0.0066602468122454895,0.8319941109072673,0.007874862525550745,False,0.8284019240429643,0.8355862977715702,0.0071843737286059195,False,0,2,1584,True,361.6896192636038,355.98721903156513,367.39201949564244,11.404800464077312,"[-1.3333514156908593e-05, -0.9999999999111088]"
parameter_mismatch_high_k,103,21,90,lambda_1d,0.0022822636030711625,0.00234625792167822,0.833079855845634,0.00228358960159443,True,0.8313189409238735,0.8348407761527125,0.0035218352288389765,False,0,23,22,True,,,,,
parameter_mismatch_high_k,103,21,90,lambda_kappa_2d,0.0022822636030711625,0.00238207456266938,0.833079855845634,0.0026656927214766184,False,0.830919965755862,0.8352397459354061,0.004319780179544042,False,0,2,1585,True,368.01426018373144,364.5110850777347,371.51743528972816,7.0063502119934356,"[1.1402063700093144e-05, 0.9999999999349966]"
parameter_mismatch_high_k,103,31,100,lambda_1d,0.0032636519826221115,0.003355164279675539,0.8332730606648849,0.0032637239627846732,True,0.8311239704940246,0.8354221444296108,0.00429817393558618,False,0,23,22,True,,,,,
parameter_mismatch_high_k,103,31,100,lambda_kappa_2d,0.0032636519826221115,0.003406382312169404,0.8332730606648849,0.0033844325728944152,True,0.830637052182141,0.8359090691476289,0.005272016965487847,False,0,2,1589,True,372.0297469291824,368.85735315661304,375.2021407017518,6.344787545138729,"[-9.607758395820887e-08, -0.9999999999999954]"
parameter_mismatch_high_k,103,41,110,lambda_1d,0.0043731329014535065,0.0044957548719524575,0.8329992525832068,0.004375221836434126,True,0.8304396453555635,0.8355588580198338,0.0051192126642702895,False,0,23,29,True,,,,,
parameter_mismatch_high_k,103,41,110,lambda_kappa_2d,0.0043731329014535065,0.0045643845126859895,0.8329992525832068,0.004452145091076398,True,0.8298597112529058,0.8361387939135079,0.0062790826606020644,False,0,2,1585,True,373.43632650130326,371.01709766008264,375.85555534252387,4.838457682441231,"[-5.7126902066665055e-06, -0.9999999999836826]"
parameter_mismatch_high_k,103,51,120,lambda_1d,0.00425631711124309,0.0043756635850435,0.8331404619690632,0.004256961758502477,True,0.8305161737677311,0.8357647501402352,0.005248576372504088,False,0,23,19,True,,,,,
parameter_mismatch_high_k,103,51,120,lambda_kappa_2d,0.00425631711124309,0.004442459980390988,0.8331404619690632,0.005151644479053789,False,0.8299215837479014,0.8363593401902251,0.006437756442323694,False,0,2,1585,True,371.6561679543282,370.15869599504055,373.1536399136159,2.994943918575359,"[5.6079379293040955e-05, 0.9999999984275516]"
parameter_mismatch_high_k,103,61,130,lambda_1d,0.00439788412197916,0.004521200112875273,0.8335142263420724,0.00439839672331815,True,0.8307085236608787,0.8363199242044006,0.005611400543521938,False,0,23,20,True,,,,,
parameter_mismatch_high_k,103,61,130,lambda_kappa_2d,0.00439788412197916,0.0045902181862063655,0.8335142263420724,0.005694547460628367,False,0.8300728300926696,0.8369556225914752,0.006882792498805523,False,0,2,1581,True,372.0018621612719,370.86481537362675,373.13890894891705,2.274093575290294,"[-0.00016554680804572007, -0.999999986297127]"
parameter_mismatch_high_k,103,71,140,lambda_1d,0.004680427338168264,0.004811665797166982,0.8339127745147767,0.004685046664928794,True,0.8308242539276851,0.837001293770817,0.006177039843131893,False,0,24,27,True,,,,,
parameter_mismatch_high_k,103,71,140,lambda_kappa_2d,0.004680427338168264,0.0048851179546788494,0.8339127745147767,0.008308208199333693,False,0.8301244807860458,0.8377010682435077,0.007576587457461814,False,0,2,1581,True,371.18563162578613,370.29251695794466,372.0787462936276,1.7862293356829468,"[-0.0002320089335489272, -0.999999973085927]"
parameter_mismatch_high_k,103,81,150,lambda_1d,0.004663789699590645,0.004794561641775717,0.8346022987931703,0.004682587514512177,True,0.8312553164548793,0.8379492760702905,0.0066939596154111936,False,0,24,22,True,,,,,
parameter_mismatch_high_k,103,81,150,lambda_kappa_2d,0.004663789699590645,0.0048677526969648395,0.8346022987931703,0.010846167560929904,False,0.8304969839285029,0.8387076136578376,0.008210629729334729,False,0,2,1585,True,370.9435690494645,370.21755657876156,371.6695815201674,1.4520249414058526,"[-0.00014752703475164834, -0.999999989117887]"
parameter_mismatch_high_k,103,91,160,lambda_1d,0.0037348575829792914,0.003839582412221424,0.8355858363195598,0.0037844747820816797,True,0.8323133775025764,0.838858295366726,0.006544917864149569,False,0,24,17,True,,,,,
parameter_mismatch_high_k,103,91,160,lambda_kappa_2d,0.0037348575829792914,0.003898195296825407,0.8355858363195598,0.01349690597164336,False,0.8315719307426912,0.8395997418964285,0.008027811153737296,False,0,2,1583,True,370.53813071229104,369.97031371760374,371.1059477069783,1.1356339893745826,"[-9.723497154670504e-05, 0.9999999952726802]"
parameter_mismatch_high_k,103,101,170,lambda_1d,0.0030169674615639405,0.0031015627627827137,0.8367078433900379,0.0031059790676345087,False,0.8334181137257746,0.8399975734924934,0.006579459766718809,False,0,24,22,True,,,,,
parameter_mismatch_high_k,103,101,170,lambda_kappa_2d,0.0030169674615639405,0.003148909458540135,0.8367078433900379,0.014038584844328548,False,0.8326727499403617,0.8407429368397141,0.00807018689935246,False,0,2,1581,True,370.5822958362129,370.10745921213487,371.0571324602909,0.9496732481560457,"[-0.00058106108513098, 0.9999998311839935]"
